dataId,genre
103264,Crime
103264,Horror
103264,Mystery
103265,Action
103265,Drama
103265,Romance
103266,Drama
103267,Action
103267,Crime
103267,Drama
103268,Comedy
103268,Drama
103269,Western
103270,Action
103270,Adventure
103270,Romance
103271,Drama
103272,Thriller
103273,Comedy
103273,Drama
103274,Drama
103274,Horror
103274,Thriller
103275,Animation
103275,Drama
103276,Drama
103276,Horror
103276,Thriller
103277,Crime
103277,Drama
103278,Horror
103279,Action
103279,Adventure
103279,Fantasy
103280,Drama
103280,Western
103281,Animation
103281,Adventure
103282,Action
103282,Crime
103282,Drama
103283,Horror
103283,Musical
103284,Adventure
103285,Documentary
103285,Biography
103285,Music
103286,Comedy
103287,Drama
103287,Family
103287,Sport
103288,Short
103288,Drama
103289,Western
103290,Drama
103291,Comedy
103292,Action
103292,Adventure
103292,Comedy
103293,Biography
103293,History
102296,Crime
102296,Drama
102296,Horror
102297,Action
102297,Comedy
102297,Crime
102298,Drama
102299,Crime
102299,Horror
102299,Mystery
102300,Drama
102300,Romance
102301,Crime
102301,Drama
102301,Mystery
102302,Drama
102303,Horror
102303,Mystery
102303,Thriller
102304,Animation
102304,Adventure
102304,Comedy
102305,Drama
102306,Drama
102307,Action
102307,Drama
102307,War
102308,Horror
102308,Sci-Fi
102309,Thriller
102310,Drama
102311,Drama
102312,Documentary
102313,Action
102313,Drama
102314,Drama
102314,Music
102315,Horror
102315,Mystery
102316,Comedy
102316,Musical
102316,Romance
102317,Drama
102317,Horror
102318,Drama
102319,Biography
102319,Drama
102320,Action
102321,Horror
102322,Adventure
102322,Western
102322,War
102323,Comedy
102323,Family
102324,Comedy
102324,Romance
102325,Animation
102325,Action
102325,Adventure
102326,Family
102326,Drama
102327,Biography
102327,Drama
102328,Action
102328,Horror
102328,Thriller
102329,Comedy
102329,Romance
102330,Horror
102330,Thriller
102331,Action
102331,Comedy
102331,Crime
102332,Crime
102332,Thriller
102333,Comedy
102334,Drama
102334,Romance
102335,Drama
102336,Comedy
102336,Drama
102337,Comedy
102338,Comedy
102338,Music
102338,Musical
102339,Documentary
102340,Drama
102341,Comedy
102341,Fantasy
102341,Romance
102342,Drama
102342,Romance
102343,Drama
102343,Thriller
102344,Action
102344,Horror
102345,Comedy
102345,Romance
102346,Romance
102347,Documentary
102347,Adventure
102348,Action
102348,Comedy
102349,Documentary
102350,Crime
102350,Drama
102351,Drama
102351,Fantasy
102352,Drama
102353,Mystery
102353,Thriller
102354,Crime
102354,Drama
102354,Horror
102355,Drama
102356,Adventure
102356,Family
102357,Comedy
102358,Comedy
102358,Romance
102359,Drama
102360,Drama
102361,Comedy
102362,Comedy
102363,Documentary
102363,Short
102364,Drama
102364,Thriller
102365,Documentary
102365,Music
102366,Comedy
102366,Drama
102367,Comedy
102367,Crime
102368,Drama
102368,Sci-Fi
102369,Documentary
102369,Short
102370,Comedy
102370,Drama
102371,Comedy
102371,Drama
102371,Romance
102372,Animation
102372,Short
102372,Comedy
102373,Crime
102373,Drama
102373,Thriller
102374,Drama
102374,Musical
102375,Comedy
102375,Drama
102376,Comedy
102376,Drama
102377,Documentary
102377,Short
102378,Comedy
102379,Short
102379,Comedy
102380,Drama
102381,Thriller
102382,Drama
102383,Drama
102383,Family
102384,Documentary
102384,History
102385,Comedy
102385,Drama
102385,Romance
102386,Drama
102387,Documentary
102387,Adventure
102387,Sport
102388,Drama
102389,Documentary
102390,Comedy
102390,Thriller
102391,Documentary
102392,Thriller
102393,Thriller
102394,Drama
102394,History
102394,Sport
102395,Biography
102396,Documentary
102396,Biography
102397,Documentary
102397,Biography
102398,Drama
102398,Thriller
102399,Comedy
102399,Drama
102399,Family
102400,Drama
102401,Drama
102402,Drama
102402,Thriller
102403,Documentary
102403,Biography
102403,Music
102404,Horror
102404,Thriller
102404,Mystery
102405,Documentary
102406,Thriller
102407,Comedy
102407,Drama
102408,Documentary
102408,History
102409,Comedy
102409,Drama
102409,Horror
102410,Comedy
102410,Crime
102410,Film-Noir
102411,Comedy
102412,Drama
102413,Drama
102413,Romance
102414,Comedy
102415,Adventure
102415,Comedy
102415,Music
102416,Short
102416,Action
102416,Comedy
102417,Drama
102418,Comedy
102418,Romance
102419,Drama
102419,Romance
102420,Adventure
102420,Comedy
102421,Drama
102422,Action
102422,Adventure
102422,Romance
102423,Drama
102424,Comedy
102424,Drama
102425,Short
102425,Action
102425,Crime
102426,Drama
102427,Drama
102427,Music
102428,Documentary
102429,Comedy
102430,Drama
102430,Sci-Fi
102431,Biography
102431,Drama
102431,History
102432,Documentary
102433,Comedy
102433,Musical
102434,Western
102435,Horror
102436,Drama
102437,Drama
102438,Crime
102438,Comedy
102439,Drama
102440,Comedy
102441,Action
102441,Adventure
102441,Crime
102442,Comedy
102442,Drama
102442,Romance
102443,Adventure
102443,Drama
102443,Thriller
102444,Action
102444,Drama
102445,Comedy
102445,Crime
102445,Drama
102446,Action
102446,Drama
102446,Fantasy
102447,Documentary
102447,Family
102447,Music
102448,Crime
102448,Mystery
102448,Thriller
102449,Comedy
102449,Drama
102449,Family
102450,Comedy
102451,Short
102451,Comedy
102451,Horror
102452,Documentary
102452,History
102452,Sport
102453,Family
102453,Animation
102453,Short
102454,Drama
102454,Horror
102454,Mystery
102455,Comedy
102455,Crime
102455,Drama
102456,Documentary
102457,Documentary
102458,Adventure
102459,Comedy
102460,Romance
102461,Action
102461,Thriller
102462,Comedy
102462,Short
102463,Drama
102464,Drama
102465,Drama
102466,Animation
102466,Short
102467,Comedy
102467,Romance
102468,Comedy
102468,Drama
102468,Romance
102469,Drama
102470,Comedy
102470,Drama
102471,Comedy
102472,Drama
102472,Romance
102473,Family
102473,Animation
102473,Comedy
102474,Action
102474,Comedy
102475,Drama
102476,Documentary
102476,Short
102476,Biography
102477,Drama
102478,Animation
102478,Short
102478,Comedy
102479,Comedy
102480,Drama
102480,History
102480,Romance
102481,Comedy
102482,Action
102482,Drama
102483,Family
102483,Short
102483,Comedy
102484,Comedy
102484,Music
102484,Romance
102485,Animation
102485,Short
102486,Drama
102487,Drama
102487,History
102488,Drama
102489,Drama
102489,Mystery
102489,Thriller
102490,Animation
102490,Action
102490,Adventure
102491,Drama
102492,Sci-Fi
102493,Drama
102494,Short
102495,Horror
102496,Crime
102496,Drama
102496,Thriller
102497,Adventure
102497,Drama
102497,History
102498,Comedy
102498,Romance
102499,Horror
102500,Crime
102500,Drama
102500,Mystery
102501,Biography
102501,Thriller
102501,Western
102502,Action
102502,Drama
102502,Sci-Fi
102503,Comedy
102504,Comedy
102505,Fantasy
102505,Horror
102505,Thriller
102506,Documentary
102507,Horror
102507,Mystery
102508,Comedy
102508,Drama
102508,Romance
102509,Thriller
102510,Drama
102511,Documentary
102512,Animation
102512,Fantasy
102513,Documentary
102514,Crime
102514,Drama
102514,Mystery
102515,Family
102515,Animation
102515,Musical
102516,Comedy
102516,Mystery
102516,Thriller
102517,Comedy
102517,Family
102518,Comedy
102519,Action
102519,Sci-Fi
102520,Drama
102521,Crime
102521,Drama
102521,Film-Noir
102522,Comedy
102522,Drama
102523,Drama
102524,Animation
102524,Short
102524,Comedy
102525,Action
102525,Romance
102526,Comedy
102526,Fantasy
102526,Horror
102527,Action
102527,Drama
102527,Thriller
102528,Documentary
102528,Short
102529,Comedy
102529,Drama
102530,Comedy
102531,Drama
102532,Adventure
102532,Drama
102533,Comedy
102533,Family
102533,Fantasy
102534,Documentary
102535,Short
102535,Drama
102536,Documentary
102536,Biography
